Strawberry Meringues," Ingredients : cream, sugar, vanilla, almond, strawberry, egg. Preheat your oven to 220°C (430°C). Beat the egg whites and the sugar gradually to get a meringue mixture. Cover a baking tray with baking paper and oil it lightly. Pour the...",20 min,Easy,true
Strawberry shortcake," Ingredients : sugar, baking powder, flour, milk, almond, strawberry, egg, butter, icing sugar, salt, raspberry. Allow 6 hours of refrigeration. Preheat the oven to gas mark 6 (180°C - 356°F). Beat the eggs with the sugar in a bowl. Place the...",45 min,Moderate,false
